,btc_price,qanx_price,btc_returns,qanx_returns,rolling_correlation
2019-01-01,3567.7899814215725,0.0010288028491806,,,
2019-01-02,3546.274166890589,0.0010192392439124,-0.006030572046847427,-0.009295858070199836,
2019-01-03,3511.286147252279,0.0010039005061517,-0.009866134988933517,-0.015049202483433999,
2019-01-04,3476.6456300388345,0.0009887935930701,-0.009865478277967243,-0.015048217416993026,
2019-01-05,3694.5218405812193,0.0010814957303211,0.06266851262029571,0.0937527689304396,
2019-01-06,3806.0867543839663,0.0011302128775636,0.03019738916611625,0.045046083749249455,
2019-01-07,3732.709301333592,0.0010972463048858,-0.019278975437397983,-0.029168463156132085,
2019-01-08,3811.851703531937,0.0011318683787611,0.02120240174343868,0.031553602615142395,
2019-01-09,3846.838749562549,0.0011471686770247,0.00917849086264133,0.013517736293991334,
2019-01-10,3550.5121068308817,0.0010143301983252,-0.07703120978631206,-0.11579681467945091,
2019-01-11,3404.894084580568,0.0009516751566573,-0.04101324481337698,-0.06176986722011446,
2019-01-12,3445.9907928922325,0.0009686671642693,0.01206989330381103,0.01785483995577164,
2019-01-13,3646.292284028487,0.0010528820473134,0.05812595075686211,0.08693892613530085,
2019-01-14,3611.5392825912495,0.0010375662164566,-0.009531052019461694,-0.01454657802921111,
2019-01-15,3531.091129174485,0.0010026386628127,-0.022275308981006936,-0.03366296347155684,
2019-01-16,3544.992694511881,0.0010083089407713,0.0039369035883947134,0.005655355382659044,
2019-01-17,3458.049807452491,0.0009709628701574,-0.024525547596752073,-0.03703832139515917,
2019-01-18,3415.9731219364558,0.0009529984792569,-0.01216774999173098,-0.018501624987562915,
2019-01-19,3412.4208890984664,0.0009512737106986,-0.0010398889895174568,-0.0018098334843565933,
2019-01-20,3266.340483910043,0.0008899520809739,-0.0428084371582359,-0.06446265573729193,
2019-01-21,3372.175783517564,0.0009329836622661,0.03240179648412789,0.04835269472611303,
2019-01-22,3205.8137199500657,0.0008637090478276,-0.049333745998841105,-0.07425061899823693,
2019-01-23,3033.894130761896,0.0007940153603219,-0.05362744195593727,-0.08069116293385303,
2019-01-24,3056.26742961963,0.0008025999956695,0.007374449434764951,0.0108116741521469,
2019-01-25,3145.0173501569234,0.0008373589921082,0.029038663199816517,0.043307994799707705,
